stan_nawodnienia,rodzaj_gleby,stan_nawiezienia,stopien_rozwoju,rodzaj_rosliny,rodzaj_nawozu,to_water
0.32,brunatne,0.01,0.75,ziemniak,mineralny,1
0.38,brunatne,0.15,0.85,pszenica,organiczny,1
0.17,piaszczyste,0.22,0.13,brak,organiczny,1
0.67,czarnoziemy,0.64,0.55,pszenica,sztuczny,0
0.45,brunatne,0.16,0.16,brak,organiczny,1
0.25,czarnoziemy,0.16,0.23,pszenica,organiczny,1
0.10,brunatne,0.02,0.17,brak,mineralny,1
0.25,brunatne,0.39,0.17,kaktus,organiczny,1
0.92,brunatne,0.68,0.77,ziemniak,sztuczny,0
0.70,piaszczyste,0.72,0.79,kaktus,sztuczny,0
0.54,czarnoziemy,0.95,0.59,ziemniak,organiczny,0
0.21,piaszczyste,0.05,0.03,brak,mineralny,1
0.23,brunatne,0.11,0.86,ziemniak,organiczny,1
0.61,czarnoziemy,0.76,0.76,ziemniak,sztuczny,0
0.87,brunatne,0.53,0.85,pszenica,organiczny,0
0.21,brunatne,0.01,0.26,kaktus,mineralny,1
0.32,piaszczyste,0.06,0.40,ziemniak,mineralny,1
0.76,czarnoziemy,0.79,0.67,pszenica,mineralny,0
0.30,brunatne,0.21,0.10,brak,mineralny,1
0.66,piaszczyste,0.93,0.95,kaktus,sztuczny,0
0.71,brunatne,0.52,0.62,ziemniak,mineralny,0
0.43,piaszczyste,0.38,0.35,pszenica,sztuczny,1
0.66,brunatne,0.72,0.63,pszenica,organiczny,0
0.21,piaszczyste,0.47,0.96,brak,sztuczny,1
0.78,brunatne,0.59,0.68,pszenica,organiczny,0
0.85,piaszczyste,0.77,0.64,pszenica,organiczny,0
0.84,piaszczyste,0.75,0.86,ziemniak,sztuczny,0
0.71,czarnoziemy,0.72,0.74,ziemniak,mineralny,1
0.75,piaszczyste,0.77,0.74,ziemniak,sztuczny,0
0.76,piaszczyste,0.75,0.81,pszenica,mineralny,0
0.72,brunatne,0.74,0.84,kaktus,sztuczny,0
0.59,brunatne,0.82,0.88,pszenica,organiczny,0
0.48,czarnoziemy,0.15,0.27,ziemniak,organiczny,0
0.04,piaszczyste,0.90,0.8,pszenica,organiczny,0
0.23,brunatne,0.12,0.56,brak,organiczny,1
0.02,piaszczyste,0.20,0.18,brak,organiczny,1
0.02,piaszczyste,0.35,0.24,ziemniak,mineralny,1
0.76,piaszczyste,0.78,0.85,ziemniak,mineralny,0
0.72,czarnoziemy,0.67,0.76,brak,mineralny,0
0.06,brunatne,0.02,0.71,ziemniak,mineralny,1
0.96,czarnoziemy,0.66,0.80,ziemniak,sztuczny,0
0.34,brunatne,0.22,0.15,kaktus,mineralny,0
0.78,piaszczyste,0.62,0.68,pszenica,mineralny,0
0.01,czarnoziemy,0.22,0.05,pszenica,sztuczny,1
0.02,czarnoziemy,0.31,0.80,pszenica,sztuczny,1
0.11,piaszczyste,0.14,0.14,pszenica,organiczny,1
0.95,piaszczyste,0.61,0.94,brak,sztuczny,0
0.78,brunatne,0.86,0.63,pszenica,organiczny,0
0.03,brunatne,0.27,0.25,pszenica,sztuczny,1
0.62,czarnoziemy,0.75,0.75,ziemniak,sztuczny,0
0.24,piaszczyste,0.02,0.23,pszenica,organiczny,1
0.46,czarnoziemy,0.79,0.27,ziemniak,sztuczny,0
0.24,piaszczyste,0.74,0.53,pszenica,mineralny,1
0.82,czarnoziemy,0.77,0.86,ziemniak,mineralny,0
0.25,brunatne,0.18,0.23,pszenica,sztuczny,1
0.73,czarnoziemy,0.94,0.54,brak,organiczny,0
0.63,piaszczyste,0.84,0.92,kaktus,sztuczny,0
0.78,czarnoziemy,0.75,0.94,brak,sztuczny,0
0.84,piaszczyste,0.79,0.80,pszenica,sztuczny,0
0.78,czarnoziemy,0.95,0.63,pszenica,mineralny,0
0.43,brunatne,0.38,0.52,pszenica,organiczny,1
0.88,piaszczyste,0.84,0.78,ziemniak,sztuczny,0
0.69,brunatne,0.86,0.55,ziemniak,organiczny,0
0.77,piaszczyste,0.78,0.55,ziemniak,organiczny,0
0.26,brunatne,0.24,0.12,ziemniak,mineralny,1
0.75,czarnoziemy,0.64,0.73,brak,mineralny,0
0.14,piaszczyste,0.38,0.44,pszenica,sztuczny,1
0.84,czarnoziemy,0.85,0.67,ziemniak,organiczny,0
0.33,brunatne,0.11,0.12,brak,organiczny,1
0.89,brunatne,0.67,0.88,brak,organiczny,0
0.15,brunatne,0.21,0.23,pszenica,mineralny,1
0.07,piaszczyste,0.24,0.67,brak,sztuczny,1
0.29,czarnoziemy,0.10,0.14,ziemniak,sztuczny,1
0.99,piaszczyste,0.99,0.75,kaktus,mineralny,0
